,Title,Genre,Director,Actors,Query
0,guardians of the galaxy,action,james gunn,chris pratt,action james gunn chris pratt
1,guardians of the galaxy,action,james gunn, vin diesel,action james gunn  vin diesel
2,guardians of the galaxy,action,james gunn, bradley cooper,action james gunn  bradley cooper
3,guardians of the galaxy,action,james gunn, zoe saldana,action james gunn  zoe saldana
4,guardians of the galaxy,adventure,james gunn,chris pratt,adventure james gunn chris pratt
5,guardians of the galaxy,adventure,james gunn, vin diesel,adventure james gunn  vin diesel
6,guardians of the galaxy,adventure,james gunn, bradley cooper,adventure james gunn  bradley cooper
7,guardians of the galaxy,adventure,james gunn, zoe saldana,adventure james gunn  zoe saldana
8,guardians of the galaxy,sci-fi,james gunn,chris pratt,sci-fi james gunn chris pratt
9,guardians of the galaxy,sci-fi,james gunn, vin diesel,sci-fi james gunn  vin diesel
10,guardians of the galaxy,sci-fi,james gunn, bradley cooper,sci-fi james gunn  bradley cooper
11,guardians of the galaxy,sci-fi,james gunn, zoe saldana,sci-fi james gunn  zoe saldana
12,prometheus,adventure,ridley scott,noomi rapace,adventure ridley scott noomi rapace
13,prometheus,adventure,ridley scott, logan marshall-green,adventure ridley scott  logan marshall-green
14,prometheus,adventure,ridley scott, michael fassbender,adventure ridley scott  michael fassbender
15,prometheus,adventure,ridley scott, charlize theron,adventure ridley scott  charlize theron
16,prometheus,mystery,ridley scott,noomi rapace,mystery ridley scott noomi rapace
17,prometheus,mystery,ridley scott, logan marshall-green,mystery ridley scott  logan marshall-green
18,prometheus,mystery,ridley scott, michael fassbender,mystery ridley scott  michael fassbender
19,prometheus,mystery,ridley scott, charlize theron,mystery ridley scott  charlize theron
20,prometheus,sci-fi,ridley scott,noomi rapace,sci-fi ridley scott noomi rapace
21,prometheus,sci-fi,ridley scott, logan marshall-green,sci-fi ridley scott  logan marshall-green
22,prometheus,sci-fi,ridley scott, michael fassbender,sci-fi ridley scott  michael fassbender
23,prometheus,sci-fi,ridley scott, charlize theron,sci-fi ridley scott  charlize theron
24,split,horror,m. night shyamalan,james mcavoy,horror m. night shyamalan james mcavoy
25,split,horror,m. night shyamalan, anya taylor-joy,horror m. night shyamalan  anya taylor-joy
26,split,horror,m. night shyamalan, haley lu richardson,horror m. night shyamalan  haley lu richardson
27,split,horror,m. night shyamalan, jessica sula,horror m. night shyamalan  jessica sula
28,split,thriller,m. night shyamalan,james mcavoy,thriller m. night shyamalan james mcavoy
29,split,thriller,m. night shyamalan, anya taylor-joy,thriller m. night shyamalan  anya taylor-joy
30,split,thriller,m. night shyamalan, haley lu richardson,thriller m. night shyamalan  haley lu richardson
31,split,thriller,m. night shyamalan, jessica sula,thriller m. night shyamalan  jessica sula
32,sing,animation,christophe lourdelet,matthew mcconaughey,animation christophe lourdelet matthew mcconaughey
33,sing,animation,christophe lourdelet,reese witherspoon,animation christophe lourdelet reese witherspoon
34,sing,animation,christophe lourdelet, seth macfarlane,animation christophe lourdelet  seth macfarlane
35,sing,animation,christophe lourdelet, scarlett johansson,animation christophe lourdelet  scarlett johansson
36,sing,comedy,christophe lourdelet,matthew mcconaughey,comedy christophe lourdelet matthew mcconaughey
37,sing,comedy,christophe lourdelet,reese witherspoon,comedy christophe lourdelet reese witherspoon
38,sing,comedy,christophe lourdelet, seth macfarlane,comedy christophe lourdelet  seth macfarlane
39,sing,comedy,christophe lourdelet, scarlett johansson,comedy christophe lourdelet  scarlett johansson
40,sing,family,christophe lourdelet,matthew mcconaughey,family christophe lourdelet matthew mcconaughey
41,sing,family,christophe lourdelet,reese witherspoon,family christophe lourdelet reese witherspoon
42,sing,family,christophe lourdelet, seth macfarlane,family christophe lourdelet  seth macfarlane
43,sing,family,christophe lourdelet, scarlett johansson,family christophe lourdelet  scarlett johansson
44,suicide squad,action,david ayer,will smith,action david ayer will smith
45,suicide squad,action,david ayer, jared leto,action david ayer  jared leto
46,suicide squad,action,david ayer, margot robbie,action david ayer  margot robbie
47,suicide squad,action,david ayer, viola davis,action david ayer  viola davis
48,suicide squad,adventure,david ayer,will smith,adventure david ayer will smith
49,suicide squad,adventure,david ayer, jared leto,adventure david ayer  jared leto
50,suicide squad,adventure,david ayer, margot robbie,adventure david ayer  margot robbie
51,suicide squad,adventure,david ayer, viola davis,adventure david ayer  viola davis
52,suicide squad,fantasy,david ayer,will smith,fantasy david ayer will smith
53,suicide squad,fantasy,david ayer, jared leto,fantasy david ayer  jared leto
54,suicide squad,fantasy,david ayer, margot robbie,fantasy david ayer  margot robbie
55,suicide squad,fantasy,david ayer, viola davis,fantasy david ayer  viola davis
56,the great wall,action,yimou zhang,matt damon,action yimou zhang matt damon
57,the great wall,action,yimou zhang, tian jing,action yimou zhang  tian jing
58,the great wall,action,yimou zhang, willem dafoe,action yimou zhang  willem dafoe
59,the great wall,action,yimou zhang, andy lau,action yimou zhang  andy lau
60,the great wall,adventure,yimou zhang,matt damon,adventure yimou zhang matt damon
61,the great wall,adventure,yimou zhang, tian jing,adventure yimou zhang  tian jing
62,the great wall,adventure,yimou zhang, willem dafoe,adventure yimou zhang  willem dafoe
63,the great wall,adventure,yimou zhang, andy lau,adventure yimou zhang  andy lau
64,the great wall,fantasy,yimou zhang,matt damon,fantasy yimou zhang matt damon
65,the great wall,fantasy,yimou zhang, tian jing,fantasy yimou zhang  tian jing
66,the great wall,fantasy,yimou zhang, willem dafoe,fantasy yimou zhang  willem dafoe
67,the great wall,fantasy,yimou zhang, andy lau,fantasy yimou zhang  andy lau
68,la la land,comedy,damien chazelle,ryan gosling,comedy damien chazelle ryan gosling
69,la la land,comedy,damien chazelle, emma stone,comedy damien chazelle  emma stone
70,la la land,comedy,damien chazelle, rosemarie dewitt,comedy damien chazelle  rosemarie dewitt
71,la la land,comedy,damien chazelle, j.k. simmons,comedy damien chazelle  j.k. simmons
72,la la land,drama,damien chazelle,ryan gosling,drama damien chazelle ryan gosling
73,la la land,drama,damien chazelle, emma stone,drama damien chazelle  emma stone
74,la la land,drama,damien chazelle, rosemarie dewitt,drama damien chazelle  rosemarie dewitt
75,la la land,drama,damien chazelle, j.k. simmons,drama damien chazelle  j.k. simmons
76,la la land,music,damien chazelle,ryan gosling,music damien chazelle ryan gosling
77,la la land,music,damien chazelle, emma stone,music damien chazelle  emma stone
78,la la land,music,damien chazelle, rosemarie dewitt,music damien chazelle  rosemarie dewitt
79,la la land,music,damien chazelle, j.k. simmons,music damien chazelle  j.k. simmons
80,mindhorn,comedy,sean foley,essie davis,comedy sean foley essie davis
81,mindhorn,comedy,sean foley, andrea riseborough,comedy sean foley  andrea riseborough
82,mindhorn,comedy,sean foley, julian barratt,comedy sean foley  julian barratt
83,mindhorn,comedy,sean foley,kenneth branagh,comedy sean foley kenneth branagh
84,the lost city of z,action,james gray,charlie hunnam,action james gray charlie hunnam
85,the lost city of z,action,james gray, robert pattinson,action james gray  robert pattinson
86,the lost city of z,action,james gray, sienna miller,action james gray  sienna miller
87,the lost city of z,action,james gray, tom holland,action james gray  tom holland
88,the lost city of z,adventure,james gray,charlie hunnam,adventure james gray charlie hunnam
